narod,narod-cesky,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Республика Карелия,Республика Коми,Архангельская область,Ненецкий автономный округ,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия – Алания,Чеченская Республика,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский автономный округ – Югра,Ямало-Ненецкий автономный округ,Челябинская область,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская автономная область,Чукотский автономный округ
Марийцы,Mari,154,89,766,253,715,227,187,79,120,2555,85,214,215,74,435,159,254,2100,242,2280,545,84,192,310,755,852,105,107,1022,130,99,1970,338,4233,1987,33,7,56,37,84,114,544,103658,290863,153,18848,8067,3648,4121,29598,6415,900,177,2982,2927,658,311,23801,11042,7289,2078,2826,31,214,32,444,515,349,3314,931,1044,1111,541,590,455,222,776,431,360,90,222,63,152
Мегрелы,Megrelians,7,NA,12,3,1,1,1,2,5,36,3,1,7,NA,5,12,1,123,2,3,1,NA,1,NA,6,1,NA,2,44,6,NA,140,2,10,48,NA,NA,1,3,NA,NA,14,3,1,3,1,3,NA,3,3,2,1,NA,10,13,1,NA,8,7,2,4,12,NA,NA,1,NA,1,NA,7,2,2,7,2,NA,NA,1,1,NA,NA,NA,NA,NA,1
Монголы,Mongolové,3,NA,19,38,27,NA,10,1,15,62,19,7,8,19,22,6,5,334,2,1,NA,NA,2,5,NA,1,5,1,179,NA,70,38,3,10,55,1,NA,1,NA,1,1,15,18,2,9,22,4,1,16,8,11,2,13,7,9,5,47,82,8,3,NA,10,8,395,47,12,19,84,17,867,16,65,82,48,42,1,3,9,7,1,3,NA,NA
Молдаване,Moldavané,2048,1450,2297,2273,1181,2511,859,1120,1248,19611,875,1671,1183,662,1914,2128,915,21699,490,2318,957,48,939,1045,2698,1309,804,721,7200,277,124,5170,514,3139,6664,138,36,225,95,139,34,1758,872,290,272,971,820,461,1389,1037,1894,1172,570,1891,3037,872,815,2336,15806,9476,4712,1618,148,307,25,375,1211,613,2749,1465,1071,956,1223,1012,1622,479,1433,927,736,367,581,447,91
Мордва,Mordvinians,392,138,2570,785,1243,1066,258,199,253,18678,187,5564,437,326,1219,852,564,17095,534,1462,553,21,283,1600,1465,1625,386,226,2337,214,84,3151,658,2273,2198,66,9,282,67,116,81,1250,20300,862,333112,19156,913,13014,1431,398,19138,38682,54703,65447,10917,38977,691,6303,7444,4936,1257,12147,68,435,56,1124,2976,429,4295,2119,3932,1486,1209,1109,1523,630,2223,1702,533,121,1666,179,41
Мордва-эрзя,Mordvinians-Erzya,3,1,8,5,17,13,5,1,1,161,1,13,4,1,14,13,2,185,1,9,1,NA,2,4,20,18,8,NA,69,NA,1,14,2,11,10,NA,NA,NA,NA,NA,NA,6,128,2,49579,133,4,249,5,11,1331,55,1607,2328,40,690,NA,65,33,26,3,19,NA,1,2,3,16,1,22,6,14,9,6,4,2,1,8,8,2,NA,NA,NA,NA
Китайцы,Číňan,121,8,88,187,102,16,59,50,10,325,78,18,7,37,14,273,26,3222,14,20,14,NA,10,55,104,7,7,3,1578,7,64,209,10,614,249,21,1,14,NA,2,1,178,84,2,28,124,18,6,271,53,193,26,123,189,42,44,21,1772,90,56,3,171,7,1014,33,103,450,632,2439,1118,193,1926,753,407,926,38,2857,3898,672,237,76,84,NA
Киргизы,Kirghiz,150,81,548,553,470,336,136,202,164,4913,65,485,209,191,1036,670,324,18736,63,731,89,40,259,482,871,137,49,199,3289,19,102,336,402,292,1648,24,7,52,25,13,25,220,454,33,64,1156,86,47,1003,105,823,688,238,2105,547,167,504,6304,8652,5012,1815,1410,238,1133,628,1875,558,1634,8423,4507,2364,6506,1578,1427,5022,264,1424,667,235,91,1763,66,30
Кабардинцы,Kabardians,42,39,92,140,70,74,28,35,44,1306,24,68,60,40,87,49,47,3698,45,128,67,1,55,144,239,169,30,55,1181,519,108,1130,186,381,663,236,28,490453,771,2802,534,7993,65,10,35,78,32,26,135,53,174,84,27,202,316,48,15,180,348,177,124,136,2,17,2,26,59,39,190,58,41,82,54,30,72,28,110,62,22,12,56,26,14
Калмыки,Kalmyks,14,21,80,62,26,26,13,12,20,804,19,51,17,29,28,25,23,3996,11,57,24,10,11,60,101,50,10,8,1283,31,162740,393,6624,1576,878,40,12,38,30,46,176,757,44,8,32,142,23,11,48,8,64,24,13,68,240,11,18,83,840,400,361,75,21,93,21,103,42,48,213,36,40,130,85,62,147,21,39,35,13,27,55,3,164
Казаки,Kozáci,80,54,74,291,36,62,12,29,40,691,32,74,42,33,87,157,57,1157,63,156,21,NA,25,119,105,71,35,30,430,374,17,5261,161,18452,29682,688,NA,489,465,297,305,3006,160,38,26,153,117,60,218,48,96,121,49,236,146,81,48,191,379,177,88,360,19,33,16,60,102,83,391,178,82,68,157,43,118,31,152,132,16,43,38,14,10
Казахи,Kazaši,331,149,377,510,304,336,189,159,239,3507,191,307,288,227,471,358,272,9393,151,357,255,17,162,748,907,518,182,150,3349,116,4948,1616,149415,46223,3046,522,22,249,227,145,926,1861,4373,112,120,1758,285,190,677,237,571,120262,387,15602,76007,466,11939,4406,19146,4382,1532,35297,12524,685,50,363,7979,570,1970,952,1701,10705,78303,1705,1338,235,1235,763,415,117,428,86,70
Камчадалы,Kamchadals,2,NA,2,NA,1,1,NA,1,NA,3,1,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,3,3,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,2,NA,NA,4,NA,2,9,2,1,2,NA,4,1551,7,13,2,280,2,NA,6
Караимы,Karaites,1,1,NA,1,1,4,NA,1,1,18,1,NA,NA,NA,1,2,1,89,NA,1,1,NA,NA,1,NA,1,1,NA,22,NA,NA,6,NA,2,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,1,2,1,3,1,NA,NA,NA,4,3,NA,NA,5,4,3,1,5,NA,2,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA
Каракалпаки,Karakalpaks,7,6,4,15,14,11,2,2,NA,130,NA,3,8,2,14,6,7,128,2,1,3,NA,6,4,23,2,14,9,60,1,5,10,99,212,36,8,NA,4,4,1,NA,17,56,6,4,71,15,7,20,1,6,66,8,29,66,11,NA,28,44,23,5,14,5,4,3,6,5,10,28,10,18,3,8,6,7,1,5,5,6,1,NA,2,1
Карачаевцы,Karachai,21,15,72,125,15,26,17,34,27,550,35,45,27,46,87,43,40,1184,14,76,32,1,29,76,77,31,34,16,321,99,165,1100,136,230,571,69,3,1028,194324,63,37,15598,80,5,14,35,38,6,39,29,158,35,28,100,199,7,7,69,320,96,180,60,5,17,10,13,47,18,83,54,35,47,23,26,86,27,43,41,26,9,10,8,8
Карелы,Karels,41,24,45,32,41,37,32,18,26,272,14,38,38,17,7394,39,75,358,45570,180,180,2,149,110,1345,1376,183,100,1396,5,NA,108,7,52,90,3,1,10,3,5,10,40,27,17,13,73,16,28,67,33,69,29,31,107,36,29,16,82,128,75,23,62,NA,13,2,13,27,13,68,55,131,13,51,16,17,7,15,23,10,6,5,NA,3
Коми,Komi,128,55,211,95,267,92,123,53,52,541,69,81,87,32,120,100,236,565,182,202348,4583,3623,295,146,456,1649,123,150,1072,49,15,502,60,149,202,8,NA,25,23,12,8,151,113,87,28,152,161,117,356,866,258,60,49,168,109,101,32,445,8469,2364,5141,162,8,29,2,50,63,19,159,98,122,127,403,71,32,33,45,44,31,14,24,6,7
Коми-пермяки,Komi-perm,48,16,242,39,255,62,31,15,31,168,29,32,37,14,92,54,37,155,50,659,59,NA,58,97,109,78,22,47,132,38,35,652,37,251,1113,3,1,14,19,12,8,181,93,30,11,299,271,47,81084,378,111,118,36,208,199,94,174,1328,2621,2134,129,326,15,28,5,53,119,26,308,313,255,117,307,47,85,53,97,77,35,15,28,9,4
Корейцы,Korejci,513,126,511,672,323,638,112,178,316,5537,176,667,325,146,719,772,265,9783,100,196,78,3,109,731,1122,173,341,119,4031,766,1342,3952,2939,7044,11597,226,15,4034,30,1458,29,6759,777,53,84,864,290,81,555,100,984,2080,221,1699,4206,221,169,1195,1536,867,266,905,144,486,162,547,1214,256,1029,1342,908,3193,705,1207,1421,1401,18824,8015,1756,183,24993,352,28
Коряки,Koryak,1,NA,1,1,2,2,2,2,1,3,NA,2,1,2,1,1,1,28,1,1,NA,NA,2,1,9,2,NA,NA,38,1,NA,9,NA,3,2,NA,NA,NA,1,NA,NA,9,2,NA,NA,NA,2,1,NA,4,1,NA,NA,NA,1,2,2,11,10,7,1,2,NA,1,NA,4,3,3,26,10,2,4,8,1,11,6640,34,55,8,900,1,5,69
Крымские татары,Krymských Tatarů,6,NA,14,8,7,9,4,4,1,67,1,5,5,4,5,23,5,129,1,12,4,NA,5,6,8,8,5,NA,43,3,NA,1407,10,14,85,1,1,14,5,1,NA,15,39,22,NA,64,6,3,56,2,13,24,6,26,12,6,NA,34,89,66,21,6,4,5,NA,NA,9,NA,2,13,12,3,6,16,2,4,7,5,3,NA,5,NA,NA
Кубинцы,Kubánci,4,NA,8,16,6,4,1,NA,3,72,NA,6,1,7,1,9,4,223,4,3,NA,NA,8,13,10,3,2,2,63,1,NA,12,NA,18,13,NA,NA,NA,1,1,NA,5,21,1,2,4,4,NA,2,5,10,1,9,9,4,9,NA,8,2,1,NA,20,NA,2,NA,NA,NA,NA,2,1,6,18,5,1,1,1,1,2,NA,NA,1,NA,NA
Кумандинцы,Kumandy,1,NA,NA,1,1,NA,NA,2,1,10,1,1,1,NA,NA,2,NA,1,2,2,NA,NA,NA,2,1,2,NA,NA,12,NA,1,NA,NA,1,3,NA,NA,1,NA,NA,1,NA,1,NA,NA,3,NA,3,3,1,NA,4,NA,NA,4,NA,NA,NA,22,13,4,2,1062,1,1,5,1401,2,13,8,225,17,12,16,3,4,10,8,NA,6,4,NA,1
Кумыки,Kumyks,66,133,124,234,95,215,51,120,98,1622,91,269,90,86,126,224,110,2351,20,142,80,8,53,125,224,174,69,75,947,91,619,581,1558,1018,1511,431736,118,699,264,16092,12221,5639,119,34,19,173,39,23,113,91,161,119,94,153,575,88,17,269,18668,13849,4466,124,7,60,6,12,65,116,596,112,41,88,81,48,216,44,237,103,69,14,87,9,9
Курды,Kurdové,194,83,22,594,23,52,15,20,43,188,1353,28,11,721,24,230,115,483,3,11,2,NA,10,25,27,7,NA,3,114,4528,238,5899,20,541,830,43,1,321,43,93,2,1790,88,2,9,60,35,24,41,22,52,56,14,35,2851,18,204,133,171,60,11,76,1,6,NA,6,28,7,37,25,57,57,125,38,8,31,124,7,15,4,3,12,NA
Нивхи,Nivkhi,1,2,1,1,NA,1,NA,NA,NA,2,NA,1,NA,NA,1,1,NA,2,1,NA,NA,NA,NA,NA,4,NA,NA,NA,9,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,2,NA,NA,2,NA,NA,1,NA,3,1,2,NA,7,5,4,NA,2,NA,4,NA,NA,4,3,14,7,NA,7,4,1,18,9,35,2149,10,6,2290,24,3
Нагайбаки,Nagaybaks,2,1,1,1,1,2,NA,NA,1,2,3,1,2,NA,6,2,NA,5,NA,10,NA,NA,1,5,1,7,1,1,27,1,NA,5,NA,1,1,NA,NA,1,1,NA,NA,3,38,6,NA,6,8,1,3,1,NA,14,NA,1,NA,1,4,30,166,138,24,7679,NA,5,NA,NA,NA,4,31,5,4,4,7,3,25,1,NA,1,NA,1,3,NA,NA
Ненцы,Nenets,4,NA,NA,8,2,NA,8,3,2,28,2,1,3,1,3,1,8,45,4,503,8020,7504,15,13,23,149,6,NA,109,1,3,9,2,14,23,5,NA,2,2,NA,1,9,8,6,NA,4,4,1,26,26,4,4,2,9,11,3,24,52,31621,1438,29772,10,NA,6,NA,2,5,7,3633,7,2,11,21,5,23,5,12,6,22,1,3,NA,22
Немцы,Němci,1922,405,1031,1431,580,1154,427,553,976,4061,662,1010,795,638,1289,2718,750,4817,490,5441,848,10,641,7349,1722,725,664,425,2849,818,1071,12171,916,10102,4234,179,22,1462,307,588,82,5288,5909,399,276,2200,1238,404,6252,1040,1248,12165,849,6780,7579,1872,1740,14914,20723,6828,1847,18687,700,1016,87,5976,50701,750,22363,3725,23125,30924,50055,8687,1540,430,2087,1793,1048,395,493,247,108
Ногайцы,Nogai,8,8,42,99,23,99,7,8,35,266,10,38,14,46,34,133,15,585,9,201,12,NA,9,28,34,108,23,7,126,24,75,300,7589,178,233,40407,6,289,15654,220,3444,22006,45,11,NA,23,7,5,11,8,34,27,16,35,349,13,1,46,8888,5323,3479,11,9,14,1,7,12,10,950,35,11,20,14,8,357,7,44,120,6,25,14,11,3
Персы,Peršané,31,6,24,44,25,26,6,3,7,196,12,22,11,6,23,32,6,431,3,12,3,NA,2,33,72,6,16,5,207,25,1,89,123,46,59,503,NA,418,35,68,5,108,104,4,17,55,17,13,35,13,54,70,6,66,39,31,8,59,103,40,53,15,NA,1,NA,4,16,5,24,28,10,34,22,18,8,2,24,15,4,12,9,NA,1
Поляки,Poláci,480,197,304,373,201,352,145,175,181,1987,146,237,466,114,483,269,303,3122,1849,843,390,22,249,2788,1028,652,232,359,2647,158,61,1969,158,764,1074,38,7,144,46,177,12,810,504,67,56,443,235,117,510,194,378,525,146,917,678,216,303,1449,2418,1336,455,1185,31,170,20,273,580,182,1268,1364,750,816,2231,750,297,153,600,488,368,111,227,84,31
Якуты (саха),Yakutia (Sakha),29,16,20,20,11,51,10,12,18,306,14,16,28,8,33,21,21,1508,15,15,18,3,2,25,72,16,20,21,701,9,14,94,6,29,50,NA,NA,3,3,6,13,43,26,19,6,36,17,13,33,11,52,38,8,39,26,19,10,284,61,36,10,54,14,272,45,39,126,163,1468,858,84,629,136,285,466492,142,766,1417,449,407,63,99,62
Японцы,Japonec,2,1,NA,2,NA,NA,1,NA,1,29,NA,1,NA,NA,1,1,2,280,2,2,NA,NA,1,2,4,1,NA,1,65,NA,1,5,1,7,2,1,NA,NA,1,2,NA,3,1,6,NA,6,3,3,7,1,1,1,1,4,NA,1,1,19,7,3,NA,2,NA,2,1,NA,NA,NA,9,11,5,16,5,7,6,6,40,60,6,4,219,5,NA
Осетины,Osetinci,330,135,253,764,168,365,119,382,297,3427,132,167,221,205,293,406,228,11311,114,323,126,9,203,366,587,347,131,120,3233,450,248,4537,477,1034,2801,886,74,9129,3142,459688,585,7988,265,59,78,346,110,64,312,136,404,243,128,793,563,280,81,573,1713,865,466,384,22,86,25,81,314,159,1493,423,256,355,267,146,623,225,528,327,162,288,261,61,89
Андийцы,A Já,NA,4,2,2,7,1,NA,NA,NA,2,3,NA,NA,NA,3,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,62,47,19,9,77,11448,NA,NA,NA,1,17,39,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,2,13,6,7,1,NA,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Нанайцы,Nanai,NA,1,3,1,NA,1,NA,4,NA,7,NA,8,NA,NA,4,NA,1,10,NA,NA,1,NA,1,NA,4,NA,NA,NA,21,NA,4,11,1,1,4,NA,NA,1,NA,NA,NA,10,7,NA,NA,3,1,NA,2,NA,7,3,NA,2,NA,1,NA,1,12,6,3,2,5,11,3,NA,4,10,13,10,4,10,5,4,42,69,383,11009,25,7,148,95,6
Пакистанцы,Pákistánci,NA,7,1,11,22,4,NA,2,16,46,NA,3,2,NA,1,10,5,112,1,2,NA,NA,NA,3,5,NA,2,1,45,NA,NA,16,5,6,9,11,NA,2,4,8,3,8,NA,1,21,32,4,8,4,NA,8,4,5,8,4,3,NA,1,3,NA,2,5,NA,NA,NA,1,3,1,3,4,NA,6,NA,NA,NA,NA,NA,1,1,NA,3,NA,NA
Аджарцы,Ajarians,NA,1,NA,4,NA,NA,NA,NA,NA,8,3,NA,NA,1,1,2,NA,56,NA,1,NA,NA,NA,NA,2,NA,NA,1,7,4,1,44,NA,3,13,7,NA,2,1,3,1,4,2,NA,NA,NA,1,NA,5,NA,2,2,NA,11,1,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,1,3,1,NA,1,5,1,NA,2,NA,NA,NA,NA,NA,NA
Селькупы,Selkups,NA,2,1,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,1,NA,1,1,15,NA,NA,7,NA,2,1,NA,NA,NA,NA,NA,2,2,NA,1,1,NA,3,1,5,2,1,2,NA,NA,1,NA,2,10,2065,27,1988,NA,NA,1,NA,3,NA,2,281,4,10,18,3,1181,2,NA,NA,2,NA,NA,NA,1,NA
Эскимосы,Huskies,NA,NA,1,5,NA,NA,NA,1,1,3,NA,NA,2,2,NA,NA,1,15,NA,NA,NA,NA,3,2,3,1,1,NA,10,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,5,NA,10,6,3,3,13,4,11,14,8,20,4,33,2,5,1529
Дидойцы,Tsez lidé,NA,NA,2,NA,8,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,6,4,1,NA,NA,11623,NA,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,1,7,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Крымчаки,Krimchaks,NA,NA,1,NA,NA,2,NA,NA,NA,4,1,NA,1,NA,NA,1,NA,20,NA,NA,NA,NA,1,NA,NA,1,NA,NA,6,NA,NA,35,NA,NA,2,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Тазы,Umyvadla,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,253,1,3,1,4,NA,NA
Кряшены,Kryashens,NA,NA,1,NA,NA,1,1,NA,1,31,NA,1,2,NA,3,2,1,42,1,1,NA,NA,1,5,2,6,2,NA,12,NA,NA,6,1,3,7,NA,NA,2,1,NA,NA,2,3801,14,NA,29962,482,7,21,82,11,19,1,24,1,5,NA,16,73,63,5,34,NA,1,1,1,1,1,81,6,17,2,NA,6,3,2,4,2,NA,NA,3,NA,NA
Бесермяне,Besermyan,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,NA,6,NA,1,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,2111,NA,15,4,2,1,NA,1,2,NA,NA,19,5,4,NA,1,NA,NA,NA,NA,NA,NA,6,2,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
Мордва-мокша,Mordvinians-Mókša,NA,NA,10,2,1,5,1,NA,NA,87,1,11,NA,NA,5,NA,3,94,2,5,1,NA,NA,3,3,3,NA,NA,12,NA,NA,10,NA,5,6,NA,NA,1,1,NA,NA,NA,13,1,4178,13,3,4,10,2,22,21,25,85,11,16,1,7,5,2,1,26,NA,1,NA,3,9,NA,8,3,7,4,3,2,1,NA,3,6,1,NA,1,NA,NA
Карагаши,Karagash,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Орочи,Orochi,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,1,NA,1,2,19,441,1,76,28,2,4
Памирцы,Pamirs,NA,NA,3,NA,2,1,1,1,3,64,NA,7,2,1,1,5,1,96,NA,1,NA,NA,1,2,6,1,NA,NA,17,NA,1,13,1,11,2,NA,NA,1,2,1,NA,1,1,2,NA,6,NA,2,1,4,8,6,NA,15,1,NA,NA,27,3,2,1,2,NA,NA,NA,NA,4,NA,3,1,10,3,1,NA,NA,2,6,1,5,NA,NA,NA,NA
